[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[035]  170- 185 | final=  액체 | state=LIQUID_HOLD | pL= 69.2 | pF= 30.8 | anch_ofs= 29.12/ 30.04 | chg= 32.16 | grad= 0.22 | edge=0.00 | anchor=822.56
[036]  175- 190 | final=  액체 | state=LIQUID_HOLD | pL= 68.3 | pF= 31.7 | anch_ofs= 29.87/ 31.24 | chg= 32.90 | grad= 0.24 | edge=0.00 | anchor=822.56
[037]  180- 195 | final=  액체 | state=LIQUID_HOLD | pL= 77.1 | pF= 22.9 | anch_ofs= 30.71/ 31.84 | chg= 33.74 | grad= 0.52 | edge=0.00 | anchor=822.56
[038]  185- 200 | final=  액체 | state=LIQUID_HOLD | pL= 80.1 | pF= 19.9 | anch_ofs= 29.24/ 31.84 | chg= 32.28 | grad= 2.88 | edge=0.33 | anchor=822.56
[039]  190- 205 | final=  액체 | state=LIQUID_HOLD | pL= 75.6 | pF= 24.4 | anch_ofs= 23.88/ 31.84 | chg= 26.91 | grad= 2.82 | edge=0.47 | anchor=822.56
[040]  195- 210 | final=  액체 | state=LIQUID_HOLD | pL= 68.2 | pF= 31.8 | anch_ofs= 17.16/ 30.12 | chg= 20.19 | grad= 2.82 | edge=0.60 | anchor=822.56
[041]  200- 215 | final=  액체 | state=LIQUID_HOLD | pL= 71.0 | pF= 29.0 | anch_ofs= 11.03/ 17.36 | chg= 14.07 | grad= 2.00 | edge=0.27 | anchor=822.56
[042]  205- 220 | final=  액체 | state=LIQUID_HOLD | pL= 70.0 | pF= 30.0 | anch_ofs=  7.94/ 12.72 | chg= 10.97 | grad= 1.06 | edge=0.13 | anchor=822.56
[043]  210- 225 | final=  액체 | state=LIQUID_HOLD | pL= 62.4 | pF= 37.6 | anch_ofs=  5.85/  8.60 | chg=  8.89 | grad= 0.92 | edge=0.00 | anchor=822.56
[044]  215- 230 | final=  액체 | state=LIQUID_HOLD | pL= 58.8 | pF= 41.2 | anch_ofs=  5.64/  7.16 | chg=  8.67 | grad= 0.40 | edge=0.00 | anchor=822.56
[045]  220- 235 | final=  액체 | state=LIQUID_HOLD | pL= 67.1 | pF= 32.9 | anch_ofs=  6.75/  9.68 | chg=  9.79 | grad= 0.52 | edge=0.00 | anchor=822.56
[046]  225- 240 | final=  액체 | state=LIQUID_HOLD | pL= 73.8 | pF= 26.2 | anch_ofs=  8.53/ 10.96 | chg= 11.57 | grad= 0.52 | edge=0.00 | anchor=822.56
[047]  230- 245 | final=  액체 | state=LIQUID_HOLD | pL= 76.1 | pF= 23.9 | anch_ofs= 10.26/ 11.92 | chg= 13.30 | grad= 0.50 | edge=0.00 | anchor=822.56
[048]  235- 250 | final=  액체 | state=LIQUID_HOLD | pL= 85.1 | pF= 14.9 | anch_ofs= 11.31/ 12.16 | chg= 14.35 | grad= 0.92 | edge=0.00 | anchor=822.56
[049]  240- 255 | final=  액체 | state=LIQUID_HOLD | pL= 80.0 | pF= 20.0 | anch_ofs= 12.02/ 29.68 | chg= 13.84 | grad=13.40 | edge=0.40 | anchor=822.56
[050]  245- 260 | final=  액체 | state=LIQUID_HOLD | pL= 78.3 | pF= 21.7 | anch_ofs= 28.34/ 71.40 | chg= 28.14 | grad=13.72 | edge=0.73 | anchor=822.56
[051]  250- 265 | final=  액체 | state=LIQUID_HOLD | pL= 70.3 | pF= 29.7 | anch_ofs= 48.62/ 73.40 | chg= 46.40 | grad=13.72 | edge=0.67 | anchor=822.56
[052]  255- 270 | final=  액체 | state=LIQUID_HOLD | pL= 60.9 | pF= 39.1 | anch_ofs= 69.08/ 74.24 | chg= 66.05 | grad=11.60 | edge=0.33 | anchor=822.56
[053]  260- 275 | final=  액체 | state=LIQUID_HOLD | pL= 71.1 | pF= 28.9 | anch_ofs= 73.75/ 74.72 | chg= 70.71 | grad= 0.38 | edge=0.00 | anchor=822.56
[054]  265- 280 | final=  액체 | state=LIQUID_HOLD | pL= 60.8 | pF= 39.2 | anch_ofs= 74.24/ 74.72 | chg= 71.20 | grad= 0.56 | edge=0.00 | anchor=822.56
[055]  270- 285 | final=  액체 | state=LIQUID_HOLD | pL= 67.3 | pF= 32.7 | anch_ofs= 73.37/ 74.72 | chg= 70.34 | grad= 0.72 | edge=0.00 | anchor=822.56
[056]  275- 290 | final=  액체 | state=LIQUID_HOLD | pL= 64.4 | pF= 35.6 | anch_ofs= 71.16/ 74.72 | chg= 68.13 | grad= 4.72 | edge=0.20 | anchor=822.56
[057]  280- 295 | final=  액체 | state=LIQUID_HOLD | pL= 62.8 | pF= 37.2 | anch_ofs= 57.11/ 72.68 | chg= 54.07 | grad=12.48 | edge=0.53 | anchor=822.56
[058]  285- 300 | final=  액체 | state=LIQUID_HOLD | pL= 75.8 | pF= 24.2 | anch_ofs= 34.40/ 70.04 | chg= 33.06 | grad=12.48 | edge=0.73 | anchor=822.56
