record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
data,,730.0,729.0,1.0,729.0,Time=10.2s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,728.8,1.2,728.8,Time=10.3s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.6,1.4,728.6,Time=10.4s | BaseRaw=730.0 | CurrentRaw=728.6 | Change=1.4 => Floor
data,,730.0,728.6,1.4,728.6,Time=10.5s | BaseRaw=730.0 | CurrentRaw=728.6 | Change=1.4 => Floor
data,,730.0,728.6,1.4,728.6,Time=10.6s | BaseRaw=730.0 | CurrentRaw=728.6 | Change=1.4 => Floor
data,,730.0,728.6,1.4,728.6,Time=10.7s | BaseRaw=730.0 | CurrentRaw=728.6 | Change=1.4 => Floor
data,,730.0,728.8,1.2,728.8,Time=10.8s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,729.0,1.0,729.0,Time=10.9s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.0s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.1s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.2s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.3s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.6,1.4,728.6,Time=11.4s | BaseRaw=730.0 | CurrentRaw=728.6 | Change=1.4 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.5s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.6s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.7s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,728.8,1.2,728.8,Time=11.8s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,729.0,1.0,729.0,Time=11.9s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.0s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.1s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.2s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.3s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.4s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.5s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.6s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.7s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.8s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=12.9s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.0s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.1s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.2s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.3s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.4s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.5s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.6s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.7s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=13.8s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
